Time,receiving-addresses-btc-24h
2010-12-12 00:00:00+00:00,808
2010-12-13 00:00:00+00:00,824
2010-12-14 00:00:00+00:00,762
2010-12-15 00:00:00+00:00,675
2010-12-16 00:00:00+00:00,533
2010-12-17 00:00:00+00:00,438
2010-12-18 00:00:00+00:00,527
2010-12-19 00:00:00+00:00,557
2010-12-20 00:00:00+00:00,961
2010-12-21 00:00:00+00:00,650
2010-12-22 00:00:00+00:00,731
2010-12-23 00:00:00+00:00,584
2010-12-24 00:00:00+00:00,563
2010-12-25 00:00:00+00:00,746
2010-12-26 00:00:00+00:00,698
2010-12-27 00:00:00+00:00,535
2010-12-28 00:00:00+00:00,708
2010-12-29 00:00:00+00:00,531
2010-12-30 00:00:00+00:00,628
2010-12-31 00:00:00+00:00,562
2011-01-01 00:00:00+00:00,686
